Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Place of study
2,43,No,5,6,18,Home
4,74,Yes,4,9,55,Home
1,73,Yes,4,3,45,Home
4,91,No,6,0,74,Home
6,66,Yes,4,2,56,Home
4,49,Yes,7,6,34,Home
1,69,Yes,7,2,44,Home
7,84,Yes,5,0,73,Home
2,59,No,9,6,38,Home
9,68,No,6,7,64,Home
3,97,No,6,4,75,Home
8,92,Yes,4,5,84,Home
8,68,No,8,2,62,Home
3,62,No,8,4,41,Home
4,96,Yes,9,2,81,Home
2,89,No,8,1,66,Home
4,60,No,9,6,45,Home
9,87,No,5,9,84,Home
2,82,Yes,6,6,60,Home
3,49,No,4,7,26,Home
4,80,No,5,0,64,Home
5,51,No,7,1,32,Home
1,69,Yes,7,1,48,Home
7,90,Yes,7,2,83,Home
7,72,No,9,6,62,Home
9,57,No,9,6,55,Home
4,53,No,6,6,36,Home
6,61,Yes,7,0,52,Home
2,60,Yes,9,1,35,Home
4,40,No,9,7,21,Home
2,88,No,8,8,67,Home
5,82,Yes,9,9,71,Home
7,91,Yes,7,6,87,Home
1,99,No,5,0,70,Home
7,54,Yes,7,3,43,Home
6,75,No,8,9,69,Home
6,86,No,7,7,75,Home
8,93,Yes,4,4,85,Home
8,61,No,8,0,56,Home
6,71,No,6,6,55,Home
3,97,No,7,5,78,Home
5,85,No,9,8,71,Home
2,93,No,5,3,68,Home
5,72,No,7,3,60,Home
9,97,No,5,7,95,Home
1,80,Yes,4,3,51,Home
5,98,Yes,6,2,84,Home
6,78,No,9,6,68,Home
7,62,Yes,8,4,54,Home
9,82,No,8,8,79,Home
6,94,No,6,4,83,Home
5,41,Yes,4,8,28,Home
7,41,No,4,5,31,Home
1,77,No,7,5,50,Home
5,94,Yes,4,5,79,Home
2,90,Yes,7,6,64,Home
4,68,Yes,5,3,53,Home
7,91,Yes,6,3,81,Home
5,85,Yes,5,8,70,Home
6,99,Yes,5,6,85,Home
2,42,No,5,9,20,Home
3,78,Yes,5,5,60,Home
7,46,Yes,8,0,36,Home
2,75,No,4,6,49,Home
6,68,No,6,5,56,Home
5,94,Yes,6,3,79,Home
1,76,No,9,7,53,Home
4,88,No,5,6,70,Home
2,97,No,6,7,74,Home
4,75,No,7,8,60,Home
1,62,No,6,0,32,Home
2,84,No,5,2,59,Home
8,55,No,6,1,48,Home
6,87,Yes,4,2,74,Home
2,70,No,5,1,46,Home
6,73,Yes,8,5,63,Home
9,89,No,4,8,87,Home
7,40,No,6,1,29,Home
9,57,Yes,8,3,51,Home
5,97,No,9,4,81,Home
7,79,No,4,4,70,Home
7,82,Yes,9,0,75,Home
3,95,No,7,5,75,Home
7,95,No,4,4,85,Home
1,54,Yes,8,5,28,Home
9,87,Yes,9,3,84,Home
6,88,No,7,5,76,Home
5,56,Yes,9,8,43,Home
7,83,No,6,0,73,Home
5,49,No,5,5,33,Home
5,59,Yes,9,0,45,Home
7,45,Yes,6,6,38,Home
7,47,Yes,5,3,39,Home
3,84,Yes,5,5,67,Home
3,73,No,8,6,53,Home
3,71,Yes,7,4,50,Home
6,90,Yes,7,8,80,Home
6,93,No,4,7,80,Home
3,81,No,6,2,60,Home
3,43,No,8,0,23,Home
8,83,No,9,9,80,Home
8,89,No,6,7,83,Home
7,78,No,9,3,72,Home
4,59,No,9,6,46,Home
4,63,No,9,3,45,Home
3,63,No,4,6,42,Home
5,94,Yes,4,0,78,Home
3,65,Yes,8,0,43,Home
8,64,No,4,1,55,Home
7,75,Yes,8,4,67,Home
3,46,No,4,9,28,Home
9,49,No,7,5,48,Home
5,97,No,8,1,81,Home
9,86,No,7,0,84,Home
7,51,Yes,7,8,41,Home
7,40,Yes,8,6,31,Home
6,91,No,6,7,83,Home
2,89,Yes,5,5,70,Home
9,64,Yes,4,8,57,Home
6,55,No,9,7,45,Home
8,44,No,4,3,37,Home
1,58,Yes,9,4,33,Home
5,43,Yes,6,1,28,Home
1,45,No,5,0,16,Home
8,65,No,6,5,60,Home
8,88,Yes,5,2,81,Home
1,78,No,8,3,54,Home
9,95,No,8,0,94,Home
2,94,No,9,5,74,Home
9,78,Yes,7,7,76,Home
1,48,Yes,7,9,19,Home
9,84,No,9,3,83,Home
4,91,Yes,8,9,73,Home
9,53,No,9,7,52,Home
7,87,Yes,7,9,81,Home
6,94,Yes,9,2,84,Home
5,48,Yes,8,6,35,Home
9,54,No,6,2,53,Home
2,76,No,4,5,55,Home
2,89,No,8,3,66,Home
9,92,Yes,9,5,87,Home
3,59,No,8,6,43,Home
8,47,No,8,7,39,Home
9,71,No,7,5,68,Home
8,86,No,9,3,81,Home
4,60,Yes,7,8,45,Home
1,96,No,9,6,75,Home
4,80,No,7,8,64,Home
9,58,Yes,7,2,54,Home
2,68,No,6,4,45,Home
3,97,Yes,8,0,75,Home
8,70,Yes,6,7,64,Home
6,93,Yes,7,0,81,Home
8,45,No,6,0,39,Home
7,43,Yes,8,6,38,Home
5,82,Yes,8,7,72,Home
9,68,Yes,7,2,67,Home
4,81,No,8,1,66,Home
6,42,Yes,6,6,32,Home
2,40,Yes,5,9,17,Home
2,83,Yes,8,4,59,Home
2,94,No,6,0,70,Home
7,54,Yes,6,1,41,Home
2,86,Yes,6,2,62,Home
2,60,No,8,5,38,Home
9,85,No,5,0,81,Home
7,97,No,7,7,88,Home
3,70,Yes,7,1,46,Home
3,46,Yes,8,4,25,Home
7,56,Yes,8,7,48,Home
5,95,Yes,4,4,81,Home
6,58,No,9,7,49,Home
8,78,Yes,5,5,72,Home
9,99,No,6,6,96,Home
1,42,Yes,9,7,17,Home
3,69,Yes,6,2,48,Home
7,74,Yes,9,4,69,Home
6,97,No,7,9,85,Home
7,96,No,9,6,85,Home
8,68,No,8,8,64,Home
6,89,No,5,5,79,Home
3,91,Yes,7,9,74,Home
2,93,Yes,9,0,69,Home
7,53,Yes,5,7,44,Home
1,74,Yes,8,5,50,Home
3,67,Yes,6,0,48,Home
4,97,No,4,3,77,Home
1,69,No,5,5,46,Home
5,65,Yes,6,9,51,Home
3,46,Yes,5,0,23,Home
2,78,Yes,5,9,56,Home
3,70,Yes,5,4,47,Home
8,44,No,8,2,42,Home
6,74,Yes,7,6,64,Home
7,89,Yes,5,7,80,Home
6,86,Yes,8,2,73,Home
6,91,Yes,4,9,80,Home
3,53,No,7,2,34,Home
8,75,Yes,8,2,69,Home
7,66,No,4,5,54,Home
7,63,No,7,5,56,Home
6,79,Yes,8,2,66,Home
5,68,Yes,4,5,53,Home
8,92,Yes,8,8,89,Home
5,84,Yes,4,7,70,Home
9,61,Yes,5,6,59,Home
9,47,No,5,6,41,Home
1,54,No,7,7,28,Home
6,88,No,4,6,75,Home
7,44,No,5,2,34,Home
3,91,No,7,7,68,Home
7,43,Yes,6,7,32,Home
7,50,Yes,5,0,44,Home
2,57,No,5,9,35,Home
7,81,Yes,9,4,74,Home
1,88,Yes,8,4,64,Home
5,69,No,6,0,57,Home
9,54,No,4,5,46,Home
7,45,No,7,5,36,Home
7,94,Yes,6,3,85,Home
2,92,No,4,5,71,Home
8,55,No,5,5,49,Home
3,86,Yes,9,0,71,Home
8,79,Yes,7,4,76,Home
3,48,No,7,1,26,Home
7,82,Yes,6,6,74,Home
2,98,No,8,8,78,Home
4,73,Yes,4,8,59,Home
6,66,No,9,8,55,Home
9,52,Yes,9,6,51,Home
5,75,Yes,6,6,57,Home
9,66,Yes,8,0,63,Home
5,48,No,8,5,37,Home
8,44,No,8,4,41,Home
1,90,No,7,7,67,Home
7,61,Yes,4,7,56,Home
4,70,Yes,4,3,51,Home
5,42,Yes,6,0,26,Home
6,69,No,5,5,56,Home
5,60,Yes,6,9,48,Home
1,74,No,4,0,52,Home
9,45,No,7,4,42,Home
2,67,No,6,4,41,Home
9,71,No,5,2,64,Home
2,81,No,9,4,57,Home
9,76,Yes,6,5,72,Home
6,64,Yes,8,4,52,Home
9,71,Yes,5,0,67,Home
6,74,Yes,8,6,61,Home
6,61,Yes,7,2,51,Home
2,63,Yes,4,6,42,Home
8,78,No,6,4,71,Home
3,93,Yes,6,2,74,Home
7,69,No,8,5,62,Home
5,89,No,8,0,76,Home
3,71,No,4,5,50,Café 
1,70,No,6,3,42,Café 
8,62,No,4,3,55,Café 
3,79,Yes,8,4,60,Café 
2,72,Yes,9,8,52,Café 
1,64,Yes,8,0,36,Café 
4,75,No,5,2,53,Café 
8,63,Yes,8,3,54,Café 
3,70,Yes,8,1,47,Café 
1,97,No,9,8,70,Café 
4,78,No,4,6,62,Café 
9,85,Yes,5,0,82,Café 
1,52,No,5,8,26,Café 
2,49,No,6,5,25,Café 
9,62,No,9,1,55,Café 
2,57,Yes,7,0,34,Café 
3,71,No,6,5,51,Café 
7,72,No,6,6,63,Café 
3,75,No,6,9,54,Café 
9,67,No,5,5,62,Café 
6,55,No,4,6,43,Café 
3,55,Yes,8,5,34,Café 
9,57,Yes,5,7,56,Café 
1,47,No,8,1,24,Café 
3,81,No,8,8,65,Café 
1,55,Yes,7,8,31,Café 
2,94,Yes,6,8,72,Café 
8,95,No,7,6,90,Café 
7,50,No,6,8,43,Café 
2,45,Yes,5,0,23,Café 
2,40,No,8,2,18,Café 
9,51,No,7,1,44,Café 
6,96,Yes,9,0,84,Café 
5,77,Yes,5,4,62,Café 
6,67,Yes,5,0,56,Café 
9,84,Yes,9,2,87,Café 
7,97,No,6,5,89,Café 
9,56,No,8,5,55,Café 
4,40,No,6,2,18,Café 
2,71,No,6,3,46,Café 
8,47,Yes,5,6,42,Café 
4,93,Yes,6,5,72,Café 
9,79,No,4,1,75,Café 
4,95,No,9,8,79,Café 
8,82,No,9,5,78,Café 
9,85,Yes,8,1,81,Café 
9,63,Yes,9,6,63,Café 
4,49,Yes,6,9,35,Café 
1,86,No,6,9,63,Café 
3,78,No,7,3,59,Café 
9,78,No,8,0,76,Café 
4,49,Yes,8,9,33,Café 
5,75,No,9,8,62,Café 
7,64,Yes,6,9,58,Café 
5,99,No,4,7,82,Café 
4,89,No,7,4,73,Café 
2,98,Yes,4,2,75,Café 
2,96,Yes,6,3,71,Café 
4,49,No,8,2,30,Café 
9,58,Yes,8,9,58,Café 
8,85,Yes,4,7,80,Café 
3,84,Yes,5,4,65,Café 
9,54,Yes,6,7,51,Café 
5,55,Yes,8,0,44,Café 
3,41,No,9,8,23,Café 
5,68,No,5,9,56,Café 
4,43,No,8,2,25,Café 
8,92,No,9,0,89,Café 
5,89,Yes,8,2,75,Café 
8,68,No,5,1,60,Café 
9,70,Yes,4,6,64,Café 
4,56,No,6,9,40,Café 
7,49,No,5,3,37,Café 
2,66,Yes,5,6,42,Café 
6,92,No,8,2,78,Café 
8,80,No,9,5,72,Café 
7,54,No,5,6,44,Café 
7,99,No,6,6,89,Café 
8,83,No,4,4,77,Café 
7,70,No,9,5,62,Café 
5,60,No,4,2,46,Café 
7,99,Yes,4,3,94,Café 
3,98,No,6,5,80,Café 
5,97,No,8,2,83,Café 
7,80,No,9,6,74,Café 
9,85,No,9,2,85,Café 
2,84,No,6,8,61,Café 
4,99,No,9,3,85,Café 
7,65,Yes,5,1,58,Café 
1,77,No,7,5,52,Café 
2,90,No,7,8,69,Café 
9,75,Yes,7,9,78,Café 
7,91,Yes,4,9,82,Café 
7,56,No,9,1,47,Café 
6,90,No,6,3,79,Café 
3,42,No,9,4,21,Café 
3,53,Yes,6,8,33,Café 
2,88,Yes,9,6,65,Café 
6,52,No,4,4,35,Café 
4,80,No,5,5,63,Café 
5,66,Yes,7,8,50,Café 
3,40,Yes,7,3,18,Café 
6,96,Yes,9,1,88,Café 
3,56,Yes,4,4,35,Café 
8,87,No,7,6,82,Café 
9,89,Yes,9,3,87,Café 
4,73,Yes,8,0,59,Café 
9,53,No,9,7,56,Café 
7,93,Yes,6,4,86,Café 
3,94,No,7,9,70,Café 
7,98,Yes,7,1,90,Café 
1,56,No,8,2,28,Café 
3,42,Yes,5,9,21,Café 
6,73,No,9,9,64,Café 
4,79,No,5,4,61,Café 
7,64,Yes,9,3,54,Café 
3,41,No,8,8,20,Café 
1,73,No,5,8,49,Café 
9,65,Yes,4,7,65,Café 
6,70,No,8,1,61,Café 
8,48,No,9,4,40,Café 
3,69,Yes,6,7,49,Café 
8,59,Yes,6,7,52,Café 
2,60,No,6,6,38,Café 
4,68,No,9,3,51,Café 
3,98,No,7,2,76,Café 
1,64,No,8,7,42,Café 
7,77,No,8,7,68,Café 
2,97,Yes,5,9,77,Café 
4,83,No,8,4,65,Café 
9,64,Yes,8,2,63,Café 
6,48,Yes,5,4,35,Café 
8,78,Yes,8,3,71,Café 
2,83,Yes,8,7,64,Café 
7,65,No,4,1,53,Café 
6,96,No,9,7,87,Café 
9,76,No,5,9,71,Café 
7,55,Yes,4,5,43,Café 
1,76,Yes,7,3,54,Café 
8,51,No,5,2,44,Café 
3,63,Yes,9,9,45,Café 
2,65,No,8,4,42,Café 
3,59,Yes,8,5,38,Café 
6,48,Yes,4,0,36,Café 
3,62,Yes,4,0,43,Café 
5,78,Yes,7,9,67,Café 
6,68,Yes,7,2,58,Café 
8,70,Yes,9,1,64,Café 
7,58,Yes,8,0,51,Café 
8,59,No,6,7,57,Café 
3,62,No,7,0,40,Café 
4,82,Yes,8,9,68,Café 
6,66,Yes,7,7,58,Café 
7,69,No,5,4,63,Café 
9,60,Yes,4,3,56,Café 
1,83,No,8,7,60,Café 
8,74,No,7,7,68,Café 
8,88,No,4,7,82,Café 
6,46,No,6,2,33,Café 
4,61,No,7,7,47,Café 
3,49,Yes,8,0,32,Café 
3,62,Yes,5,3,39,Café 
6,54,No,4,4,41,Café 
8,69,Yes,4,5,61,Café 
7,73,No,5,4,63,Café 
1,52,Yes,8,4,27,Café 
6,99,Yes,9,4,88,Café 
7,43,Yes,6,8,35,Café 
7,57,Yes,9,9,48,Café 
9,95,Yes,5,9,95,Café 
5,62,Yes,6,2,48,Café 
1,72,Yes,8,1,45,Café 
2,73,Yes,7,9,49,Café 
4,73,No,7,1,57,Café 
5,75,No,9,7,61,Café 
9,74,Yes,8,4,75,Café 
1,56,Yes,6,4,26,Café 
3,67,Yes,9,5,47,Café 
5,53,No,5,8,37,Café 
3,73,Yes,9,6,55,Café 
4,87,Yes,8,4,73,Café 
3,50,No,8,4,30,Café 
4,96,No,7,9,80,Café 
1,52,No,5,8,24,Café 
8,72,Yes,7,8,66,Café 
4,96,No,6,1,77,Café 
7,94,Yes,6,6,86,Café 
2,41,No,4,9,13,Café 
2,73,Yes,8,0,52,Café 
6,92,Yes,5,3,80,Café 
2,68,Yes,5,1,44,Café 
6,76,No,7,9,68,Café 
2,43,Yes,9,8,23,Café 
4,51,Yes,9,5,36,Café 
7,65,Yes,7,3,58,Café 
8,97,No,9,2,91,Café 
3,67,Yes,5,3,48,Café 
9,42,Yes,7,1,40,Café 
2,59,Yes,9,4,33,Café 
8,49,Yes,4,8,46,Café 
8,91,No,8,5,87,Café 
4,57,Yes,4,1,39,Café 
1,92,No,9,5,70,Café 
1,92,No,6,8,67,Café 
2,92,Yes,5,3,68,Café 
9,66,No,4,0,61,Café 
2,70,No,4,1,51,Café 
2,66,No,7,4,43,Café 
6,81,Yes,7,9,70,Café 
7,40,No,7,6,34,Café 
7,45,No,9,7,33,Café 
9,50,Yes,6,2,46,Café 
6,73,Yes,4,8,60,Café 
8,78,No,8,1,73,Café 
6,59,No,7,3,47,Café 
2,92,No,6,3,67,Café 
1,60,Yes,9,5,37,Café 
5,60,No,6,9,44,Café 
9,57,Yes,7,5,55,Café 
8,60,No,5,2,52,Café 
4,58,No,4,8,42,Café 
5,43,Yes,7,4,28,Café 
5,52,No,8,1,31,Café 
6,57,Yes,4,5,42,Café 
3,91,No,6,2,71,Café 
5,68,Yes,8,7,54,Café 
2,64,Yes,4,2,42,Café 
1,95,No,8,4,68,Café 
1,52,Yes,6,3,27,Café 
7,66,No,7,3,59,Café 
2,99,Yes,8,1,77,Café 
4,58,Yes,7,7,43,Café 
5,88,Yes,6,2,73,Café 
7,40,No,6,3,31,Café 
2,77,Yes,8,5,55,Café 
6,58,Yes,8,8,49,Café 
1,91,Yes,6,3,65,Café 
7,40,No,8,2,30,Café 
9,79,No,8,4,75,Café 
5,56,Yes,8,8,43,Café 
5,60,Yes,9,0,49,Café 
4,61,No,8,4,44,Café 
3,54,Yes,4,3,35,Café 
9,89,Yes,6,4,88,Café 
5,78,Yes,6,6,65,Café 
8,87,Yes,5,6,82,Café 
9,78,Yes,7,6,76,Café 
5,71,Yes,5,0,54,Café 
9,88,No,8,8,90,Café 
2,43,Yes,8,6,23,Café 
9,83,Yes,4,3,79,Café 
4,84,No,4,3,65,Café 
6,71,No,4,1,59,Café 
6,43,No,4,5,28,Café 
6,92,No,4,9,79,Café 
2,40,Yes,4,2,11,Café 
7,72,No,4,0,61,Café 
6,46,Yes,4,4,36,Café 
1,48,No,9,5,22,Café 
2,40,No,4,4,20,Café 
7,55,No,6,4,45,Café 
1,57,Yes,4,9,32,Café 
1,93,No,7,7,68,Café 
1,86,No,4,9,55,Café 
8,45,No,9,0,38,Café 
4,41,Yes,8,7,23,Café 
4,48,Yes,9,6,33,Café 
2,43,No,9,0,22,Café 
1,84,Yes,8,8,60,Café 
9,62,No,4,3,58,Café 
7,93,Yes,4,6,84,Café 
4,82,No,8,2,67,Café 
6,84,Yes,7,7,79,Café 
2,82,No,5,3,61,Café 
7,90,Yes,6,1,80,Café 
2,47,Yes,8,1,27,Café 
8,78,No,4,7,72,Café 
8,64,No,6,7,61,Café 
1,55,Yes,4,0,25,Café 
8,74,No,5,5,67,Café 
2,56,No,5,8,33,Café 
6,57,No,8,8,46,Café 
1,99,No,6,1,73,Café 
5,66,Yes,9,7,54,Café 
7,54,No,6,7,44,Café 
1,99,Yes,9,3,74,Café 
2,56,Yes,5,3,31,Café 
7,82,No,4,4,73,Café 
6,44,No,9,9,34,Café 
3,55,Yes,9,6,36,Café 
2,54,No,8,0,27,Café 
4,81,No,7,8,66,Café 
3,85,Yes,5,2,66,Café 
7,73,Yes,9,3,64,Café 
8,87,Yes,5,6,82,Café 
2,58,No,8,4,34,Café 
7,47,No,4,4,38,Café 
8,86,Yes,6,0,79,Café 
6,49,Yes,5,1,35,Café 
6,44,No,8,4,33,Café 
1,91,No,8,1,65,Café 
4,87,No,8,0,69,Café 
1,92,Yes,6,9,66,Café 
4,65,No,5,2,45,Café 
2,61,No,9,0,37,Café 
5,83,Yes,8,9,71,Café 
9,62,No,6,7,59,Café 
3,52,Yes,4,7,32,Café 
8,48,No,7,7,40,Café 
3,88,Yes,5,6,73,Café 
6,59,Yes,6,6,48,Café 
4,67,Yes,7,1,52,Café 
8,83,No,7,8,79,Café 
6,96,No,6,6,85,Café 
8,76,No,9,4,72,Café 
1,63,No,9,3,39,Café 
6,83,Yes,6,7,72,Café 
1,72,No,6,4,51,Café 
1,59,No,8,5,36,Café 
8,99,Yes,4,3,89,Café 
7,87,Yes,9,1,82,Café 
3,69,Yes,8,6,51,Café 
6,83,Yes,7,1,75,Café 
9,48,No,7,6,44,Café 
7,84,Yes,7,6,72,Café 
3,88,No,6,0,66,Café 
6,56,No,5,9,41,Café 
4,75,Yes,8,9,59,Café 
3,53,Yes,5,2,31,Café 
9,58,Yes,4,2,54,Café 
2,46,Yes,4,5,23,Café 
1,98,Yes,8,2,75,Café 
2,42,No,7,8,21,Café 
7,72,Yes,9,4,69,Café 
1,83,No,4,5,56,Café 
6,71,Yes,5,5,60,Café 
7,86,No,5,7,79,Café 
9,50,No,9,9,47,Café 
8,81,No,6,2,72,Café 
6,41,Yes,7,8,31,Café 
3,65,Yes,6,6,45,Café 
8,43,Yes,8,5,40,Café 
7,56,No,4,0,46,Café 
3,56,No,9,3,38,Café 
9,67,Yes,9,4,64,Café 
2,69,Yes,9,1,46,Café 
3,79,No,6,0,58,Café 
2,62,No,6,1,37,Café 
1,85,Yes,8,7,62,Café 
4,63,Yes,5,9,49,Café 
5,68,Yes,5,5,53,Café 
6,43,No,8,9,30,Café 
5,77,No,9,1,59,Café 
1,68,Yes,5,8,40,Café 
3,58,Yes,8,7,37,Café 
1,66,Yes,5,3,41,Café 
5,68,Yes,8,9,56,Café 
5,95,Yes,5,6,81,Café 
6,75,No,9,2,66,Café 
8,74,Yes,6,5,71,Café 
1,91,No,6,2,64,Café 
4,45,No,9,9,31,Café 
1,98,No,5,2,72,Café 
9,62,No,9,8,57,Café 
7,78,No,8,5,67,Café 
7,85,No,6,7,76,Café 
5,83,No,4,3,68,Café 
7,87,No,5,3,78,Café 
2,91,Yes,4,7,68,Café 
4,47,Yes,4,6,25,Café 
7,94,Yes,7,4,86,Café 
3,41,Yes,4,1,15,Café 
2,52,Yes,4,5,28,Café 
2,79,No,9,0,58,Café 
1,96,No,7,6,72,Café 
5,60,No,7,8,45,Café 
6,70,No,7,4,59,Café 
6,91,No,8,4,78,Café 
9,87,Yes,7,6,84,Café 
4,75,Yes,9,4,56,Café 
1,87,No,8,9,62,Café 
6,91,Yes,5,3,78,Café 
5,77,Yes,8,0,62,Café 
6,66,Yes,5,5,54,Café 
3,75,Yes,7,8,57,Café 
2,87,Yes,7,3,61,Café 
6,62,No,5,9,49,Café 
1,94,Yes,6,3,71,Café 
7,60,Yes,9,4,55,Café 
7,52,No,8,5,44,Café 
7,76,No,9,2,68,Café 
1,86,No,9,8,60,Café 
4,65,No,4,0,45,Café 
7,79,No,7,5,72,Café 
9,46,No,8,5,41,Café 
5,85,No,9,7,73,Café 
2,78,No,8,4,57,Café 
7,61,Yes,9,8,55,Café 
1,78,No,7,8,53,Café 
7,62,No,9,1,53,Café 
6,97,Yes,5,4,87,Café 
7,69,No,7,6,61,Café 
3,57,No,8,1,38,Café 
3,81,No,6,6,60,Café 
7,57,No,9,8,49,Café 
2,85,Yes,5,7,64,Café 
1,49,Yes,7,9,23,Café 
9,78,No,4,8,72,Café 
9,69,Yes,7,3,71,Café 
7,65,Yes,8,7,59,Café 
7,46,Yes,8,8,38,Café 
3,46,Yes,4,9,24,Café 
2,44,Yes,5,1,18,Café 
7,40,Yes,8,9,33,Café 
9,85,No,5,2,81,Café 
1,57,No,5,0,30,Café 
4,52,Yes,7,0,32,Café 
6,64,Yes,5,9,50,Café 
7,79,Yes,9,5,73,Café 
7,47,No,8,0,38,Café 
2,49,No,8,4,28,Café 
4,71,No,6,5,57,Café 
5,56,No,5,8,41,Café 
1,77,No,6,5,52,Café 
1,54,No,7,3,26,Café 
3,54,Yes,6,0,28,Café 
3,96,No,5,5,74,Café 
8,87,No,8,6,81,Café 
9,79,No,7,4,81,Café 
1,90,Yes,5,5,61,Café 
2,59,No,7,9,38,Café 
2,54,Yes,4,7,29,Café 
4,74,Yes,5,0,57,Café 
2,45,No,4,7,21,Café 
7,69,No,6,1,57,Café 
9,96,No,5,1,94,Café 
7,47,Yes,4,7,39,Café 
6,70,No,9,1,59,Café 
1,87,Yes,8,7,64,Café 
9,86,Yes,6,4,83,Café 
5,71,No,5,8,53,Café 
5,84,No,5,8,70,Café 
6,97,No,8,7,92,Café 
9,91,Yes,8,8,92,Café 
8,54,No,4,6,47,Café 
8,57,Yes,4,7,51,Café 
8,52,No,4,5,45,Café 
1,63,Yes,7,8,34,Café 
1,79,No,6,1,50,Café 
8,53,No,5,2,45,Café 
5,67,Yes,6,1,54,Café 
9,50,Yes,8,5,52,Café 
2,45,No,9,2,20,Café 
9,95,Yes,6,0,93,Café 
8,64,Yes,6,3,53,Café 
9,40,Yes,4,4,35,Café 
4,64,Yes,8,3,48,Café 
1,41,No,6,5,18,Café 
1,71,Yes,5,2,43,Café 
5,52,No,4,9,36,Café 
2,72,No,6,5,51,Café 
8,71,No,8,9,65,Café 
5,95,Yes,9,0,81,Café 
5,63,No,5,5,45,Café 
2,66,No,9,7,46,Café 
7,43,No,8,9,32,Café 
8,63,No,8,7,60,Café 
1,62,No,8,0,33,Café 
2,68,Yes,9,6,45,Café 
4,73,No,7,9,54,Café 
5,60,Yes,5,9,46,Café 
2,69,No,8,3,49,Café 
1,65,No,7,5,38,Café 
9,59,Yes,4,5,53,Café 
1,55,Yes,7,4,30,Café 
4,42,No,4,9,24,Café 
2,88,No,9,8,69,Café 
4,76,No,7,9,57,Café 
8,97,No,9,7,94,Café 
8,79,No,8,5,77,Café 
9,83,Yes,7,3,79,Café 
5,64,No,7,3,50,Café 
7,62,No,8,8,52,Café 
3,83,Yes,4,3,64,Café 
4,98,Yes,8,6,86,Café 
9,40,No,5,5,33,Café 
1,72,Yes,7,1,47,Café 
2,54,Yes,5,4,31,Café 
5,56,Yes,8,2,42,Café 
3,73,No,9,8,54,Café 
2,56,No,8,9,33,Café 
1,91,No,6,0,61,Café 
3,97,Yes,5,9,78,Café 
1,80,No,6,3,55,Café 
1,83,No,5,3,59,Café 
1,43,Yes,9,8,20,Café 
8,52,No,6,0,43,Café 
3,43,Yes,6,1,19,Café 
1,46,Yes,5,0,17,Café 
7,85,Yes,8,0,73,Café 
3,98,Yes,4,0,72,Café 
8,48,No,8,2,39,Café 
4,62,No,4,3,44,Café 
4,72,No,5,9,52,Café 
5,72,Yes,7,1,58,Café 
6,59,No,8,0,45,Café 
7,43,No,6,4,36,Café 
4,40,Yes,8,5,22,Café 
8,93,Yes,5,1,86,Café 
6,81,No,7,2,68,Café 
1,73,Yes,7,9,47,Café 
1,66,No,8,2,40,Café 
9,60,Yes,8,1,58,Café 
6,63,Yes,9,3,53,Café 
8,54,No,8,4,46,Café 
7,74,Yes,5,7,66,Café 
6,64,Yes,4,5,49,Café 
4,94,Yes,9,8,77,Café 
7,48,No,4,2,36,Café 
9,56,No,6,9,55,Café 
7,60,No,5,8,49,Café 
1,99,Yes,9,3,76,Café 
9,52,Yes,7,7,45,Café 
4,42,Yes,9,9,28,Café 
3,43,Yes,6,6,25,Café 
4,43,No,7,6,27,Café 
4,82,No,9,8,67,Café 
2,67,Yes,7,9,44,Café 
1,46,No,8,1,18,Café 
1,65,No,7,4,37,Café 
8,50,No,9,2,43,Café 
2,63,Yes,7,6,43,Café 
5,82,No,5,2,66,Café 
4,49,No,8,4,34,Café 
8,76,No,8,4,77,Café 
2,52,No,6,1,31,Café 
9,83,No,8,0,80,Café 
7,81,Yes,4,5,71,Café 
7,78,No,5,0,69,Café 
1,58,No,6,8,34,Café 
2,90,Yes,4,9,69,Café 
4,58,No,7,4,44,Café 
4,51,Yes,4,0,30,Café 
3,91,Yes,6,7,73,Café 
7,61,Yes,8,0,52,Café 
8,86,Yes,5,3,81,Café 
2,76,No,6,6,52,Café 
4,95,No,4,3,77,Café 
3,69,Yes,4,4,44,Café 
2,85,No,6,6,62,Café 
6,51,Yes,9,3,44,Café 
4,68,No,9,4,51,Café 
6,60,No,6,6,48,Café 
2,50,Yes,9,0,30,Café 
4,99,No,6,2,82,Café 
6,76,Yes,8,0,61,Café 
5,87,No,6,2,72,Café 
3,97,No,7,1,78,Café 
8,57,No,5,4,53,Café 
7,83,Yes,5,9,78,Café 
3,98,Yes,7,4,79,Café 
6,66,Yes,4,9,56,Café 
4,76,No,4,8,58,Café 
5,87,Yes,4,7,72,Café 
5,51,Yes,4,2,37,Café 
7,62,Yes,8,0,56,Café 
5,73,No,7,4,59,Café 
3,77,No,5,2,54,Café 
5,62,No,7,4,47,Café 
7,92,No,5,8,84,Café 
5,64,Yes,4,0,50,Café 
5,43,No,8,0,27,Café 
9,69,Yes,6,8,67,Café 
3,69,No,6,2,48,Café 
6,52,Yes,9,9,42,Café 
1,81,Yes,4,4,55,Café 
5,88,No,4,8,73,Café 
8,53,Yes,7,4,46,Café 
5,95,Yes,8,2,81,Café 
9,86,Yes,8,8,82,Café 
6,47,Yes,7,6,35,Café 
8,94,No,8,6,92,Café 
